piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/0.mid,1.7572,2.2648,0.6332,0.875
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/1.mid,2.8576,3.1149,0.7083,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/10.mid,2.1011,2.7464,0.6582,0.9167
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/102.mid,2.43,2.9802,0.5256,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/104.mid,2.352,3.0198,0.8438,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/106.mid,2.164,2.8284,0.8201,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/107.mid,2.1222,2.6488,0.5694,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/11.mid,2.3071,2.9414,0.5833,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/12.mid,1.9411,2.4393,0.6167,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/14.mid,2.1882,3.0056,0.6275,0.9643
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/15.mid,2.5332,3.1626,0.5233,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/17.mid,2.2886,3.1463,0.5347,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/18.mid,2.5166,3.1696,0.6051,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/19.mid,2.1778,2.69,0.5923,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/2.mid,2.2759,2.8495,0.7098,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/20.mid,1.9641,2.5136,0.75,0.8889
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/21.mid,2.5807,3.0798,0.5491,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/22.mid,1.8369,2.7993,0.6167,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/23.mid,1.6998,2.6689,0.5509,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/24.mid,1.6454,2.7508,0.6636,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/25.mid,1.6357,2.6919,0.5983,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/26.mid,2.3001,2.8913,0.6694,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/27.mid,2.1666,2.7448,0.6231,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/28.mid,1.5267,3.1396,0.6458,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/29.mid,2.1081,2.7688,0.625,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/3.mid,2.4345,3.0722,0.7625,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/30.mid,2.1497,2.6926,0.6297,0.8824
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/32.mid,2.0175,2.8003,0.7829,0.9
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/33.mid,2.0759,2.7025,0.5655,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/34.mid,1.7993,2.8095,0.5679,0.8462
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/36.mid,1.869,2.839,0.6408,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/37.mid,2.0547,2.7975,0.5643,0.8824
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/38.mid,1.9238,2.7551,0.5351,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/4.mid,2.1671,2.8256,0.5353,0.9286
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/40.mid,1.5571,2.711,0.6429,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/41.mid,2.1061,2.5387,0.6477,0.9167
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/42.mid,2.2626,2.7864,0.7976,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/43.mid,2.2127,2.8576,0.7446,0.8889
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/44.mid,1.6563,2.8614,0.8214,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/45.mid,1.1535,2.5328,0.6566,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/46.mid,1.6832,2.5858,0.6902,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/47.mid,1.4676,2.5736,0.7376,0.9333
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/48.mid,1.5963,3.0474,0.55,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/49.mid,2.2091,2.73,0.8203,0.9
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/5.mid,1.8954,2.8564,0.6653,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/50.mid,2.0343,2.7248,0.6796,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/51.mid,0.6122,1.0958,0.5,-0.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/52.mid,1.9011,2.8471,0.581,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/53.mid,2.0007,2.7013,0.5868,1.0
