piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/gpt2music/midi/102.mid,0.0,1.8005,0.8963,1.0
/home/feiyuehchen/personality/gpt2music/midi/104.mid,0.0,1.7857,0.8978,1.0
/home/feiyuehchen/personality/gpt2music/midi/108.mid,0.0,1.64,0.8972,-0.0
/home/feiyuehchen/personality/gpt2music/midi/12.mid,0.0,1.2444,0.9348,-0.0
/home/feiyuehchen/personality/gpt2music/midi/14.mid,0.0,1.8519,0.8977,1.0
/home/feiyuehchen/personality/gpt2music/midi/16.mid,0.0,1.6111,0.9011,-0.0
/home/feiyuehchen/personality/gpt2music/midi/18.mid,0.0,1.8519,0.8977,1.0
/home/feiyuehchen/personality/gpt2music/midi/2.mid,0.0,1.8036,0.8978,1.0
/home/feiyuehchen/personality/gpt2music/midi/29.mid,0.0,1.7586,0.8964,-0.0
/home/feiyuehchen/personality/gpt2music/midi/30.mid,0.0,1.8,0.8857,-0.0
/home/feiyuehchen/personality/gpt2music/midi/39.mid,0.0,1.5215,0.9015,1.0
/home/feiyuehchen/personality/gpt2music/midi/4.mid,0.0,1.9074,0.8977,1.0
/home/feiyuehchen/personality/gpt2music/midi/40.mid,0.0,1.6714,0.8986,1.0
/home/feiyuehchen/personality/gpt2music/midi/44.mid,0.0,1.7963,0.8977,1.0
/home/feiyuehchen/personality/gpt2music/midi/52.mid,0.0,1.7632,0.8945,-0.0
/home/feiyuehchen/personality/gpt2music/midi/54.mid,0.0,1.6875,0.8932,1.0
/home/feiyuehchen/personality/gpt2music/midi/57.mid,0.0,1.7105,0.8945,-0.0
/home/feiyuehchen/personality/gpt2music/midi/58.mid,0.0,1.8148,0.8974,-0.0
/home/feiyuehchen/personality/gpt2music/midi/59.mid,0.0,1.4701,0.8911,0.68
/home/feiyuehchen/personality/gpt2music/midi/6.mid,0.0,1.871,0.893,1.0
/home/feiyuehchen/personality/gpt2music/midi/63.mid,0.0,1.8704,0.8977,-0.0
/home/feiyuehchen/personality/gpt2music/midi/66.mid,0.0,1.9706,0.8987,1.0
/home/feiyuehchen/personality/gpt2music/midi/71.mid,0.0,1.931,0.8982,1.0
/home/feiyuehchen/personality/gpt2music/midi/73.mid,0.025,1.6955,0.8828,1.0
/home/feiyuehchen/personality/gpt2music/midi/75.mid,0.0,1.9074,0.8977,0.8571
/home/feiyuehchen/personality/gpt2music/midi/79.mid,0.0,1.8846,0.8969,1.0
/home/feiyuehchen/personality/gpt2music/midi/84.mid,0.0,1.3928,0.9032,0.4444
/home/feiyuehchen/personality/gpt2music/midi/9.mid,0.0,1.7593,0.8977,1.0
/home/feiyuehchen/personality/gpt2music/midi/93.mid,0.0,1.8704,0.8994,1.0
/home/feiyuehchen/personality/gpt2music/midi/96.mid,0.0,1.9074,0.8977,1.0
DATASET_MEAN,0.0008,1.7517,0.8977,0.6661
