piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/0.mid,1.7728,2.4943,0.7155,0.9286
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/1.mid,1.6655,2.6112,0.7573,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/10.mid,2.6701,2.9921,0.7006,0.9688
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/100.mid,2.3905,3.1149,0.925,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/101.mid,2.2993,2.7916,0.5513,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/102.mid,2.3579,2.8533,0.6659,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/103.mid,2.4935,2.7206,0.8514,0.7692
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/107.mid,0.0,0.0,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/108.mid,2.1578,2.7364,0.6771,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/109.mid,2.1187,2.8585,0.7068,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/11.mid,2.1546,2.7724,0.567,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/110.mid,1.9463,2.8789,0.6083,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/111.mid,1.4249,2.6917,0.8229,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/112.mid,1.0,1.0,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/113.mid,2.1466,3.0284,0.6632,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/114.mid,2.0048,2.6285,0.7727,0.6667
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/115.mid,2.1609,2.7964,0.6378,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/116.mid,2.2863,2.7288,0.7366,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/117.mid,2.2645,2.7116,0.8123,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/12.mid,2.1065,2.7437,0.758,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/121.mid,0.0,0.0,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/123.mid,1.9882,2.9176,0.5278,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/124.mid,2.1481,2.6668,0.8517,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/125.mid,2.2516,2.2516,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/126.mid,2.0391,2.8129,0.6354,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/127.mid,2.5317,2.8769,0.6275,0.8788
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/129.mid,1.7191,2.4337,0.775,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/13.mid,2.2477,2.7107,0.8361,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/130.mid,2.2098,2.6863,0.6746,0.8667
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/131.mid,2.1758,2.6451,0.6111,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/133.mid,2.0197,2.6312,0.8188,0.7778
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/134.mid,2.2841,2.9125,0.559,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/135.mid,2.3269,2.7372,0.6776,0.7222
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/136.mid,1.3671,2.5528,0.6294,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/137.mid,2.3677,2.7622,0.6199,0.8636
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/138.mid,2.1967,2.71,0.6744,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/139.mid,2.4266,3.0092,0.6417,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/14.mid,1.8776,2.7124,0.6125,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/141.mid,2.3596,2.8017,0.7853,0.9643
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/142.mid,2.0481,2.7875,0.5881,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/143.mid,2.4176,2.8851,0.6446,0.931
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/144.mid,2.0091,2.5578,0.7745,0.975
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/145.mid,1.8582,2.4094,0.5653,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/146.mid,2.3743,2.9676,0.631,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/148.mid,2.2307,2.6989,0.6464,0.9091
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/149.mid,2.2787,2.5348,0.6802,0.8333
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/15.mid,2.3511,2.9006,0.6806,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/150.mid,2.3731,2.8129,0.8421,0.9643
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/153.mid,2.5164,3.0639,0.5818,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/155.mid,1.811,2.0225,0.8349,0.4545
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/156.mid,2.0763,2.6161,0.8054,0.7143
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/157.mid,1.371,1.371,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/158.mid,2.5542,2.9437,0.6647,0.9756
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/159.mid,2.4042,3.1333,0.5972,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/16.mid,2.3239,2.786,0.875,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/160.mid,2.2369,2.7459,0.5375,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/161.mid,2.1695,2.89,0.8839,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/163.mid,2.4592,2.5472,0.9167,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/165.mid,2.089,2.7774,0.857,0.8182
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/166.mid,2.1944,2.6015,0.9536,0.75
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/168.mid,2.1272,2.5966,0.8513,0.8571
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/17.mid,2.3121,2.8649,0.8435,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000/170.mid,2.1845,2.6699,0.6069,0.9459
