piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/0.mid,1.9855,2.7688,0.7917,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/1.mid,2.2378,2.9593,0.6578,0.9211
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/10.mid,1.9773,2.442,0.6621,0.9286
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/100.mid,1.8127,2.4419,0.7278,0.9048
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/101.mid,1.0513,2.1885,0.6226,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/102.mid,2.118,2.7267,0.5296,0.7308
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/103.mid,2.2694,2.7396,0.8348,0.95
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/104.mid,2.0054,2.5503,0.6981,0.6667
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/105.mid,2.2196,2.6944,0.5099,0.9545
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/107.mid,1.9938,2.6493,0.7146,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/108.mid,1.999,2.5699,0.6367,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/11.mid,1.7455,2.7368,0.6651,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/110.mid,2.2966,2.7959,0.8881,0.8824
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/111.mid,0.973,2.5049,0.757,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/112.mid,2.0307,2.8675,0.5712,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/113.mid,2.565,2.9905,0.5938,0.8889
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/114.mid,1.8166,2.3864,0.7127,0.625
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/115.mid,1.8665,2.9093,0.6447,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/116.mid,2.1039,2.5034,0.8381,0.8182
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/117.mid,1.7124,2.5644,0.6013,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/118.mid,2.0513,2.6633,0.6614,0.9091
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/119.mid,2.1864,2.6962,0.6721,0.8148
