piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/0.mid,1.6558,2.9725,0.6751,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/1.mid,2.0612,2.8025,0.6544,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/10.mid,2.0088,3.0211,0.684,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/100.mid,2.3677,2.8542,0.6808,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/101.mid,2.3291,2.8754,0.4375,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/102.mid,1.8331,2.5312,0.5417,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/103.mid,2.4331,2.8826,0.7738,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/104.mid,1.9433,2.6,0.6155,0.9231
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/105.mid,2.2915,2.8195,0.5345,0.9608
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/107.mid,2.0588,2.7621,0.4958,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/108.mid,2.1858,2.7555,0.5848,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/109.mid,2.4466,2.8443,0.6786,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/11.mid,2.1183,2.9028,0.6469,0.9444
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/110.mid,1.6444,2.6719,0.6769,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/111.mid,1.8777,2.4196,0.6562,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/113.mid,1.8578,2.7797,0.5864,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/114.mid,2.2595,2.8137,0.6143,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/115.mid,2.6055,3.2047,0.553,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/116.mid,2.5345,3.2168,0.5476,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/117.mid,2.4376,3.22,0.5641,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/119.mid,2.4062,3.015,0.6132,0.9565
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/12.mid,2.0983,2.9192,0.5792,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/121.mid,2.338,2.9356,0.5956,0.9286
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/124.mid,2.1382,2.886,0.7465,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/125.mid,2.2682,2.7917,0.7153,0.8889
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/126.mid,2.0464,2.7238,0.5636,0.9268
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/127.mid,1.8502,2.5959,0.6791,0.95
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/128.mid,2.2041,2.6883,0.5849,0.9545
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/129.mid,2.1936,2.7509,0.7245,0.9444
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/13.mid,2.2847,3.193,0.6688,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/130.mid,2.2237,2.727,0.7844,0.96
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/131.mid,2.3818,2.7123,0.6058,0.9333
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/133.mid,2.0709,2.6411,0.7381,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/134.mid,1.5852,2.7762,0.6576,0.9756
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/135.mid,2.3426,2.8725,0.6146,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/136.mid,2.4149,3.1519,0.5143,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/137.mid,1.9023,2.851,0.6119,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/138.mid,1.9916,2.8158,0.7113,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/139.mid,2.1496,2.6243,0.847,0.9091
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/14.mid,2.3762,3.0396,0.5781,0.9556
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/141.mid,1.8179,2.9312,0.5513,0.9091
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/142.mid,2.4901,2.9,0.5521,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/143.mid,1.3341,2.6429,0.7596,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/144.mid,2.0148,2.7462,0.6268,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/145.mid,2.186,3.0689,0.5545,0.9
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/146.mid,2.6106,2.9238,0.4917,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/147.mid,1.6177,2.6047,0.6032,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/148.mid,2.0412,2.6607,0.6323,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/15.mid,1.8715,2.6843,0.75,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/150.mid,1.6386,2.6817,0.8011,0.9444
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/151.mid,1.7219,2.5219,0.375,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/152.mid,2.3816,3.1341,0.7125,1.0
