piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/0/midi/0.mid,1.9782,2.3064,0.7656,0.8333
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/1/midi/0.mid,2.0905,2.8236,0.8307,0.8421
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/10/midi/0.mid,2.0796,2.8527,0.8704,1.0
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/100/midi/0.mid,2.127,2.6587,0.6976,0.9
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/102/midi/0.mid,1.5368,2.5413,0.8824,1.0
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/103/midi/0.mid,2.3607,2.732,0.9853,0.9474
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/104/midi/0.mid,2.184,2.5681,0.7958,1.0
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/105/midi/0.mid,1.713,2.4185,0.9766,0.8333
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/106/midi/0.mid,2.3265,2.8111,0.7417,0.9091
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/107/midi/0.mid,1.6206,2.473,0.7719,0.6667
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/108/midi/0.mid,2.0643,2.3282,0.7807,0.7778
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/109/midi/0.mid,1.3293,2.1096,0.8244,0.7
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/11/midi/0.mid,2.1293,2.6402,0.8438,0.9444
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/110/midi/0.mid,1.9416,2.5165,0.9274,0.9091
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/111/midi/0.mid,2.0745,2.2966,0.9262,0.5556
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/112/midi/0.mid,1.6858,1.8998,0.9853,0.1
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/113/midi/0.mid,1.8613,2.4175,0.9844,0.6875
/home/feiyuehchen/personality/llama2music/generation/topk15-t1-2.0-ngram0/114/midi/0.mid,1.9514,2.666,0.7767,0.9412
