,split,dataset_type,length
0,train,ailab17k,1500
1,train,ailab17k,2271
2,train,ailab17k,2152
3,train,ailab17k,2536
4,train,ailab17k,444
5,train,ailab17k,2270
6,train,ailab17k,1562
7,train,ailab17k,1205
8,train,ailab17k,1279
9,train,ailab17k,3390
10,train,ailab17k,2447
11,train,ailab17k,701
12,train,ailab17k,1398
13,train,ailab17k,1936
14,train,ailab17k,2872
15,train,ailab17k,1683
16,train,ailab17k,1180
17,train,ailab17k,1631
18,train,ailab17k,1378
19,train,ailab17k,1765
20,train,ailab17k,2158
21,train,ailab17k,2064
22,train,ailab17k,1861
23,train,ailab17k,1775
24,train,ailab17k,1492
25,train,ailab17k,939
26,train,ailab17k,2379
27,train,ailab17k,321
28,train,ailab17k,1936
29,train,ailab17k,1213
30,train,ailab17k,1982
31,train,ailab17k,1068
32,train,ailab17k,1953
33,train,ailab17k,2142
34,train,ailab17k,1733
35,train,ailab17k,1256
36,train,ailab17k,1445
37,train,ailab17k,137
38,train,ailab17k,1686
39,train,ailab17k,1974
40,train,ailab17k,1684
41,train,ailab17k,1605
42,train,ailab17k,1781
43,train,ailab17k,1373
44,train,ailab17k,1281
45,train,ailab17k,1452
46,train,ailab17k,534
47,train,ailab17k,2289
48,train,ailab17k,1078
49,train,ailab17k,170
50,train,ailab17k,291
51,train,ailab17k,2083
52,train,ailab17k,810
53,train,ailab17k,2124
54,train,ailab17k,1782
55,train,ailab17k,1854
56,train,ailab17k,1898
57,train,ailab17k,1187
58,train,ailab17k,1587
59,train,ailab17k,1280
60,train,ailab17k,1559
61,train,ailab17k,1530
62,train,ailab17k,257
63,train,ailab17k,2791
64,train,ailab17k,1094
65,train,ailab17k,1754
66,train,ailab17k,1028
67,train,ailab17k,1566
68,train,ailab17k,3059
69,train,ailab17k,2540
70,train,ailab17k,2875
71,train,ailab17k,978
72,train,ailab17k,1213
73,train,ailab17k,1357
74,train,ailab17k,1894
75,train,ailab17k,3005
76,train,ailab17k,2312
77,train,ailab17k,199
